Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,TrainTime
XGBoost (TF-IDF),0.801669449081803,0.7931714395351679,0.801669449081803,0.7930108032736769,0.8333296193956681,16.63
Logistic Regression (TF-IDF),0.7889816360601002,0.7974879595688144,0.7889816360601002,0.792283149063183,0.842002026179456,0.17
LightGBM (W2V),0.784974958263773,0.794742191801393,0.784974958263773,0.7886827041052357,0.8357009233030204,19.42
Random Forest (TF-IDF),0.7879799666110183,0.7851631017954682,0.7879799666110183,0.7864101136013274,0.8244014944160495,3.69
Linear SVM (TF-IDF),0.7746243739565943,0.783819873844955,0.7746243739565943,0.7782415692811943,0.822609293032943,0.1
Complement NB (TF-IDF),0.7726210350584307,0.77829158971723,0.7726210350584307,0.7750544170896833,0.8235555318829773,0.02
Logistic Regression (W2V),0.7395659432387313,0.7697728455522306,0.7395659432387313,0.7485059301661027,0.8030711728144111,1.39
IndoBERT Fine-Tuned (Transformer),0.6934891485809683,0.5978136539829114,0.6934891485809683,0.6068790223954713,0.5128959691638096,505.71
